tconst	averageRating	numVotes
tt8100950	8.7	9619
tt8100952	8.4	9192
tt8100954	8.2	8621
tt2610248	6.6	469
tt5514030	7.5	365
tt13758604	6.6	23
tt15012326	4.1	44
tt10431594	7.8	18
tt10431588	8.0	18
tt8785902	8.3	392
tt14827322	6.0	22
tt7205536	8.3	12
tt11225016	7.8	26
tt7626270	6.4	22
tt10431612	7.1	19
tt10431614	7.8	20
tt11225022	6.5	27
tt15433818	8.5	630
tt7205552	7.0	437
tt6386710	7.1	104
tt15301224	7.2	30
tt12793412	7.8	34
tt10431608	7.1	18
tt6832776	7.3	209
tt12240248	6.2	14
tt7913328	9.1	1008
tt8232756	6.2	240
tt9447628	7.7	15
tt10984830	7.8	13
tt12240254	6.2	15
tt10010906	9.7	27
tt13034500	6.8	11
tt15565510	7.2	1233
tt4577204	7.7	27
tt15565516	6.9	12
tt6964562	3.7	1190
tt13626944	6.4	386
tt9447652	8.2	54
tt4010204	4.6	114
tt10984862	7.8	33
tt6964554	5.3	513
tt13469788	6.0	2348
tt12308222	4.8	9
tt13626922	7.1	536
tt11107904	6.6	46
tt9447676	6.6	25
tt11646562	6.5	49
tt6964538	6.2	238
tt10563356	7.6	37
tt8364482	8.2	14
tt7913394	2.9	826
tt6254992	4.6	12
tt4720654	6.7	471
tt6240354	8.8	602
tt4998772	4.2	3257
tt11803704	6.5	35
tt10274410	7.5	123
tt10274412	7.5	127
tt4024814	5.2	2117
tt11803714	6.4	49
tt9315904	6.0	311
tt9026184	4.7	9856
tt10274422	7.7	110
tt10274428	7.5	108
tt6240438	7.6	324
tt13587408	8.6	7
tt9722482	7.0	8
tt10563952	8.3	18
tt7205082	7.4	11
tt6240446	9.1	501
tt5592536	7.8	123
tt12372054	6.7	64
tt6240428	7.9	430
tt13323758	9.4	53
tt9722494	6.4	7
tt6240430	7.7	414
tt6240432	7.3	325
tt11646658	6.3	11588
tt12372076	7.4	38
tt12372078	7.6	41
tt13612932	5.7	13
tt12372080	7.5	35
tt12372084	7.5	34
tt5817164	4.0	8
tt4038806	4.2	387
tt8193232	6.5	10
tt12019120	9.9	8
tt15012848	8.8	10
tt12372022	9.8	6
tt12019128	7.0	8
tt2321341	3.8	6762
tt16359262	4.2	8
tt5592538	7.5	83
tt5592540	6.9	69
tt7205072	8.1	16
tt5592544	7.1	57
tt7626098	7.9	916
tt11921252	9.0	10
tt7913532	7.4	5
tt7690638	7.3	5161
tt5239614	8.5	6
tt11921266	9.0	8
tt8810830	3.0	45
tt5592580	8.2	15
tt8810840	5.0	7
tt12675898	7.5	18
tt4459806	3.9	173
tt8653530	8.2	14
tt6386894	8.7	51
tt11921210	5.6	8
tt15276568	5.8	20
tt9722458	7.0	8
tt9565096	7.3	9
tt7626082	6.6	26
tt3480662	4.5	1711
tt6372238	6.6	26
tt7888070	5.6	626
tt7626134	8.1	12
tt10695832	6.8	31
tt9854248	3.7	20
tt7913488	8.0	16
tt7626142	7.9	10
tt6386856	2.1	236
tt6386820	7.3	10
tt7626160	8.9	15
tt7626166	7.5	12
tt8521736	6.2	5947
tt8521728	4.9	474
tt10695804	7.4	102
tt9447954	6.6	18
tt13455682	6.9	217
tt5239674	8.2	8
tt13730204	8.6	5
tt13730206	2.9	27
tt13876576	8.2	5
tt7626100	7.7	209
tt7626102	8.2	242
tt15722146	4.8	5
tt7626112	7.9	228
tt4720702	5.2	11531
tt13034616	7.2	6
tt7913454	7.3	6
tt8785442	7.9	7
tt7205008	7.2	7
tt11632086	8.5	13
tt10274720	8.0	26
tt5949080	4.1	7
tt19408242	6.1	120
tt8785424	5.6	12
tt5881634	6.0	31
tt10274742	6.3	9
tt11239374	6.4	463
tt8785408	5.6	17
tt5949054	7.7	1472
tt14484804	7.6	16
tt12372088	7.3	33
tt8785486	6.4	244
tt14063778	9.3	36
tt9854286	7.8	5
tt12372090	7.2	33
tt12372092	7.4	32
tt14484812	7.8	8
tt5881684	6.1	22
tt14063760	10.0	9
tt5881688	6.1	14
tt10695870	2.3	7
tt5949038	4.4	1476
tt8521782	4.8	62
tt5881676	6.7	26
tt5881668	6.1	26
tt10695840	6.9	25
tt10695844	6.6	31
tt10260158	8.2	59
tt6240450	8.5	421
tt10984206	5.5	443
tt9301520	7.2	16
tt2756046	7.9	98
tt8653606	9.3	23
tt5592640	8.2	8
tt5592644	8.3	7
tt1609826	7.7	6
tt8810790	6.8	67
tt10260004	8.3	6
tt5817022	5.5	622
tt12675760	7.4	7
tt5592624	6.8	127
tt9301556	5.6	126
tt10998896	6.0	6
tt6950530	7.0	97
tt6661584	8.0	95
tt11646742	6.8	83
tt7508994	8.0	713
tt7690566	9.0	8
tt7508988	7.9	15
tt9433368	8.6	120
tt10695686	2.3	7
tt10984280	8.8	42
tt7690554	6.4	67
tt8653688	7.1	20
tt6793448	8.2	54
tt14484690	7.4	156
tt14484694	7.4	146
tt9090476	5.0	6
tt8193396	5.6	36
tt15276480	6.4	8
tt13020000	7.6	6
tt8350420	6.7	10
tt13034648	7.0	218
tt8810748	1.8	263
tt7690532	6.6	5
tt7913654	7.8	47
tt7690514	7.9	29
tt8193372	6.6	23
tt7690522	6.9	564
tt3719948	5.5	512
tt7690506	6.9	30
tt6793452	6.1	11
tt12019064	8.6	13
tt7508948	8.3	8
tt11778574	8.3	23
tt6793456	7.9	9
tt6793458	7.2	8
tt8350400	5.6	22
tt13744676	6.0	5
tt6372394	8.4	5
tt11935728	8.1	43
tt8653640	7.1	56
tt13455724	7.4	218
tt8653642	7.3	6
tt7337036	7.0	5
tt13020048	5.8	10
tt8810704	7.2	17
tt6386982	7.4	11
tt8350450	5.2	21
tt8653668	7.0	23
tt6386960	8.0	11
tt6386958	7.6	13
tt11778518	7.7	282
tt9868996	8.3	7
tt6386970	7.5	11
tt14470102	6.9	49
tt6386978	7.6	11
tt10695708	2.3	7
tt8482252	7.4	215
tt14484754	7.0	7
tt15722078	6.2	11
tt5239566	7.2	39
tt7626042	5.6	382
tt4720876	7.2	53
tt5239560	6.6	21
tt7913558	6.4	5
tt11778560	7.8	21
tt3127022	6.5	15047
tt13034716	7.0	9
tt5460858	6.6	6160
tt8350500	7.5	24
tt3127016	4.5	463
tt3127018	6.2	46
tt15722066	6.1	7
tt15144610	8.5	29
tt15144612	8.5	28
tt4577050	7.7	94
tt13744760	9.2	6
tt12793210	5.3	47
tt15144608	8.2	37
tt8942544	6.5	29
tt5460880	6.4	11778
tt9722634	7.2	189
tt9722638	6.7	111
tt8785322	5.1	241
tt11239486	7.5	54
tt15433198	8.2	67
tt8799972	6.5	150
tt5881522	5.8	318
